File Title: ,C:\Users\slank\Desktop\SPS36.LOG
File Name: ,C:\Users\slank\Desktop\SPS36.LOG
Start Time:,8/10/2017 9:07:16 AM
End Time:,8/10/2017 1:30:00 PM
Interval:,1
Records:,1331
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Volume (gal/m),Error #
8/10/2017 9:07:16 AM,0,0,5
8/10/2017 9:07:17 AM,0,0,2
8/10/2017 9:07:18 AM,0,0,2
8/10/2017 9:07:19 AM,0,0,2
8/10/2017 9:07:21 AM,0,0,5
8/10/2017 9:07:22 AM,0,0,5
8/10/2017 9:07:23 AM,0,0,0
8/10/2017 9:07:24 AM,0,0,0
8/10/2017 9:07:25 AM,0,0,2
8/10/2017 9:07:26 AM,0,0,2
8/10/2017 9:07:27 AM,0,0,0
8/10/2017 9:07:29 AM,-4.66835418434427E-02,-1.74714016091286,0
8/10/2017 9:07:30 AM,-4.66835418434427E-02,-1.74714016091286,0
8/10/2017 9:07:31 AM,-4.66835418434427E-02,-1.74714016091286,0
8/10/2017 9:07:32 AM,-4.66835418434427E-02,-1.74714016091286,0
8/10/2017 9:07:33 AM,-4.66835418434427E-02,-1.74714016091286,0
8/10/2017 9:07:34 AM,-3.95880767453144E-02,-1.48159107136714,0
8/10/2017 9:07:35 AM,-3.95880767453144E-02,-1.48159107136714,0
8/10/2017 9:07:37 AM,-3.95880767453144E-02,-1.48159107136714,0
8/10/2017 9:07:38 AM,-3.88754910144217E-02,-1.45492241900329,0
8/10/2017 9:07:39 AM,-3.88754910144217E-02,-1.45492241900329,0
8/10/2017 9:07:40 AM,-3.88754910144217E-02,-1.45492241900329,0
8/10/2017 9:07:41 AM,-0.03788248719857,-1.4177590681069,0
8/10/2017 9:07:42 AM,-0.03788248719857,-1.4177590681069,0
8/10/2017 9:07:44 AM,-3.70702800870733E-02,-1.38736206720595,0
8/10/2017 9:07:45 AM,-3.70702800870733E-02,-1.38736206720595,0
8/10/2017 9:07:46 AM,-3.70702800870733E-02,-1.38736206720595,0
8/10/2017 9:07:47 AM,-0.036518972398773,-1.36672927532225,0
8/10/2017 9:07:48 AM,-0.036518972398773,-1.36672927532225,0
8/10/2017 9:07:49 AM,-0.036518972398773,-1.36672927532225,0
8/10/2017 9:07:50 AM,-0.035792009910346,-1.33952257015692,0
